txId,class
100752,unknown
100753,unknown
100754,unknown
100755,2
100756,1
100757,2
100758,2
100759,2
100760,1
100761,unknown
100762,2
100763,2
100764,2
100765,2
100766,2
100767,2
100768,unknown
100769,2
100770,2
100771,1
100772,unknown
100773,2
100774,unknown
100775,2
100776,2
100777,2
100778,1
100779,2
100780,2
100781,1
100782,1
100783,2
100784,unknown
100785,1
100786,2
100787,unknown
100788,1
100789,2
100790,2
100791,2
100792,unknown
100793,2
100794,unknown
100795,unknown
100796,2
100797,2
100798,unknown
100799,2
100800,2
100801,2
100802,2
100803,unknown
100804,1
100805,unknown
100806,2
100807,2
100808,2
100809,2
100810,unknown
100811,2
100812,1
100813,2
100814,2
100815,unknown
100816,unknown
100817,unknown
100818,2
100819,2
100820,2
100821,unknown
100822,2
100823,unknown
100824,2
100825,2
100826,2
100827,unknown
100828,2
100829,2
100830,2
100831,2
100832,1
100833,2
100834,unknown
100835,1
100836,2
100837,2
100838,2
100839,2
100840,2
100841,2
100842,unknown
100843,2
100844,2
100845,2
100846,1
100847,2
100848,unknown
100849,unknown
100850,1
100851,1
100852,unknown
100853,2
100854,2
100855,1
100856,2
100857,2
100858,unknown
100859,2
100860,2
100861,unknown
100862,2
100863,2
100864,2
100865,unknown
100866,unknown
100867,2
100868,2
100869,2
100870,2
100871,unknown
100872,2
100873,1
100874,2
100875,2
100876,2
100877,2
100878,unknown
100879,2
100880,2
100881,2
100882,2
100883,2
100884,1
100885,1
100886,2
100887,2
100888,unknown
100889,2
100890,2
100891,unknown
100892,2
100893,unknown
100894,2
100895,unknown
100896,2
100897,2
100898,2
100899,unknown
100900,2
100901,2
100902,unknown
100903,2
100904,unknown
100905,2
100906,unknown
100907,2
100908,unknown
100909,2
100910,2
100911,1
100912,2
100913,2
100914,2
100915,2
100916,2
100917,2
100918,unknown
100919,unknown
100920,2
100921,unknown
100922,2
100923,2
100924,2
100925,unknown
100926,unknown
100927,1
100928,unknown
100929,2
100930,2
100931,2
100932,unknown
100933,1
100934,unknown
100935,2
100936,unknown
100937,2
100938,2
100939,unknown
100940,unknown
100941,2
100942,2
100943,2
100944,2
100945,2
100946,1
100947,unknown
100948,2
100949,2
100950,unknown
100951,1
100952,2
100953,2
100954,unknown
100955,1
100956,2
100957,2
100958,2
100959,2
100960,2
100961,2
100962,2
100963,1
100964,1
100965,2
100966,unknown
100967,2
100968,unknown
100969,2
100970,2
100971,2
100972,2
100973,1
100974,2
100975,2
100976,unknown
100977,unknown
100978,2
100979,1
100980,2
100981,2
100982,unknown
100983,2
100984,2
100985,1
100986,2
100987,2
100988,2
100989,1
100990,2
100991,2
100992,1
100993,2
100994,unknown
100995,2
100996,2
100997,unknown
100998,unknown
100999,2
101000,unknown
101001,unknown
101002,unknown
101003,2
101004,1
101005,2
101006,2
101007,unknown
101008,2
101009,2
101010,2
101011,2
101012,2
101013,2
101014,unknown
101015,2
101016,2
101017,unknown
101018,2
101019,2
101020,unknown
101021,2
101022,2
101023,2
101024,2
101025,2
101026,2
101027,2
101028,2
101029,unknown
101030,2
101031,2
101032,2
101033,2
101034,2
101035,1
101036,2
101037,unknown
101038,1
101039,2
101040,2
101041,2
101042,unknown
101043,2
101044,2
101045,2
101046,1
101047,2
101048,unknown
101049,2
101050,unknown
101051,2
101052,2
101053,unknown
101054,1
101055,unknown
101056,unknown
101057,2
101058,1
101059,1
101060,2
101061,2
101062,2
101063,unknown
101064,unknown
101065,2
101066,2
101067,2
101068,unknown
101069,2
101070,unknown
101071,2
101072,unknown
101073,1
101074,2
101075,unknown
101076,2
101077,unknown
101078,2
101079,2
101080,2
101081,unknown
101082,1
101083,unknown
101084,1
101085,1
101086,unknown
101087,unknown
101088,1
101089,2
101090,unknown
101091,unknown
101092,2
101093,2
101094,2
101095,2
101096,2
101097,1
101098,2
101099,2
101100,2
101101,2
101102,unknown
101103,1
101104,unknown
101105,2
101106,2
101107,unknown
101108,2
101109,unknown
101110,2
101111,unknown
101112,2
101113,1
101114,unknown
101115,2
101116,2
101117,2
101118,2
101119,2
101120,2
101121,unknown
101122,2
101123,2
101124,2
101125,2
101126,2
101127,2
101128,1
101129,2
101130,2
101131,2
101132,2
101133,2
101134,1
101135,1
101136,2
101137,1
101138,2
101139,2
101140,2
101141,2
101142,2
101143,2
101144,2
101145,unknown
101146,unknown
101147,2
101148,2
101149,2
101150,unknown
101151,1
101152,2
101153,2
101154,2
101155,unknown
101156,2
101157,2
101158,unknown
101159,2
101160,2
101161,1
101162,unknown
101163,2
101164,2
101165,2
101166,2
101167,2
101168,2
101169,1
101170,2
101171,2
101172,unknown
101173,2
101174,2
101175,2
101176,2
101177,2
101178,2
101179,unknown
101180,unknown
101181,unknown
101182,2
101183,2
101184,2
101185,2
101186,unknown
101187,1
101188,1
101189,2
101190,2
101191,2
101192,2
101193,2
101194,2
101195,2
101196,2
101197,2
101198,2
101199,2
101200,2
101201,unknown
101202,2
101203,2
101204,1
101205,2
101206,unknown
101207,2
101208,1
101209,unknown
101210,unknown
101211,2
101212,unknown
101213,unknown
101214,2
101215,2
101216,2
101217,2
101218,2
101219,1
101220,2
101221,unknown
101222,unknown
101223,2
101224,unknown
101225,2
101226,2
101227,2
101228,2
101229,unknown
101230,1
101231,2
101232,2
101233,2
101234,unknown
101235,2
101236,unknown
101237,2
101238,1
101239,2
101240,2
101241,1
101242,2
101243,unknown
101244,2
101245,2
101246,2
101247,2
101248,2
101249,2
101250,unknown
101251,1
101252,2
101253,2
101254,1
101255,1
101256,1
101257,unknown
101258,2
101259,2
101260,1
101261,2
101262,2
101263,2
101264,2
101265,unknown
101266,2
101267,2
101268,2
101269,2
101270,2
101271,2
101272,2
101273,1
101274,unknown
101275,2
101276,2
101277,unknown
101278,2
101279,2
101280,unknown
101281,2
101282,2
101283,2
101284,2
101285,2
101286,unknown
101287,2
101288,2
101289,2
101290,2
101291,unknown
101292,unknown
101293,2
101294,2
101295,2
101296,2
101297,2
101298,2
101299,unknown
101300,2
101301,unknown
101302,1
101303,2
101304,2
101305,2
101306,2
101307,2
101308,unknown
101309,1
101310,unknown
101311,2
101312,unknown
101313,2
101314,2
101315,2
101316,unknown
101317,2
101318,unknown
101319,2
101320,unknown
101321,2
101322,2
101323,2
101324,2
101325,2
101326,2
101327,2
101328,unknown
101329,unknown
101330,2
101331,unknown
101332,2
101333,2
101334,2
101335,1
101336,1
101337,2
101338,2
101339,2
101340,2
101341,unknown
101342,unknown
101343,unknown
101344,2
101345,2
101346,2
101347,2
101348,2
101349,unknown
101350,unknown
101351,unknown
101352,2
101353,2
101354,2
101355,unknown
101356,unknown
101357,2
101358,unknown
101359,2
101360,unknown
101361,2
101362,2
101363,2
101364,2
101365,unknown
101366,2
101367,2
101368,2
101369,2
101370,2
101371,2
101372,1
101373,2
101374,2
101375,2
101376,2
101377,unknown
101378,unknown
101379,1
101380,2
101381,2
101382,unknown
101383,2
101384,1
101385,1
101386,2
101387,unknown
101388,2
101389,2
101390,2
101391,unknown
101392,1
101393,2
101394,2
101395,2
101396,2
101397,1
101398,1
101399,2
101400,2
101401,unknown
101402,unknown
101403,2
101404,unknown
101405,2
101406,unknown
101407,2
101408,1
101409,2
101410,2
101411,2
101412,unknown
101413,2
101414,unknown
101415,2
101416,2
101417,unknown
101418,unknown
101419,unknown
101420,1
101421,2
101422,1
101423,2
101424,1
101425,unknown
101426,2
101427,1
101428,1
101429,1
101430,1
101431,2
101432,unknown
101433,unknown
101434,unknown
101435,unknown
101436,unknown
101437,unknown
101438,1
101439,2
101440,2
101441,2
101442,2
101443,2
101444,2
101445,unknown
101446,2
101447,2
101448,unknown
101449,unknown
101450,unknown
101451,unknown
101452,2
101453,unknown
101454,2
101455,1
101456,2
101457,1
101458,2
101459,2
101460,unknown
101461,2
101462,2
101463,2
101464,2
101465,2
101466,unknown
101467,2
101468,unknown
101469,1
101470,2
101471,2
101472,2
101473,2
101474,2
101475,unknown
101476,1
101477,2
101478,2
101479,unknown
101480,unknown
101481,2
101482,2
101483,2
101484,2
101485,unknown
101486,unknown
101487,2
101488,2
101489,unknown
101490,1
101491,unknown
101492,2
101493,2
101494,2
101495,2
101496,2
101497,unknown
101498,2
101499,2
101500,unknown
101501,2
101502,2
101503,unknown
101504,2
101505,2
101506,2
101507,2
101508,2
101509,unknown
101510,2
101511,2
101512,1
101513,2
101514,2
101515,2
101516,1
101517,2
101518,unknown
101519,2
101520,2
101521,2
101522,unknown
101523,2
101524,2
101525,1
101526,2
101527,2
101528,2
101529,1
101530,2
101531,2
101532,2
101533,unknown
101534,2
101535,unknown
101536,2
101537,unknown
101538,unknown
101539,unknown
101540,2
101541,1
101542,2
101543,1
101544,2
101545,unknown
101546,2
101547,1
101548,2
101549,2
101550,2
101551,2
101552,1
101553,1
101554,2
101555,1
101556,unknown
101557,2
101558,2
101559,1
101560,2
101561,unknown
101562,2
101563,unknown
101564,unknown
101565,1
101566,2
101567,unknown
101568,1
101569,2
101570,unknown
101571,2
101572,2
101573,unknown
101574,unknown
101575,2
101576,2
101577,2
101578,unknown
101579,2
101580,2
101581,2
101582,2
101583,2
101584,1
101585,unknown
101586,2
101587,2
101588,2
101589,1
101590,2
101591,2
101592,2
101593,2
101594,unknown
101595,unknown
101596,1
101597,2
101598,2
101599,unknown
101600,1
101601,2
101602,2
101603,2
101604,2
101605,unknown
101606,unknown
101607,2
101608,unknown
101609,2
101610,2
101611,2
101612,2
101613,2
101614,2
101615,unknown
101616,1
101617,2
101618,2
101619,1
101620,unknown
101621,2
101622,2
101623,2
101624,unknown
101625,2
101626,2
101627,2
101628,2
101629,1
101630,1
101631,unknown
101632,unknown
101633,2
101634,2
101635,unknown
101636,1
101637,2
101638,unknown
101639,2
101640,unknown
101641,2
101642,2
101643,unknown
101644,unknown
101645,2
101646,1
101647,2
101648,2
101649,unknown
101650,1
101651,unknown
101652,2
101653,unknown
101654,2
101655,1
101656,1
101657,2
101658,2
101659,2
101660,unknown
101661,2
101662,1
101663,2
101664,2
101665,2
101666,2
101667,2
101668,2
101669,1
101670,2
101671,2
101672,1
101673,2
101674,2
101675,unknown
101676,2
101677,2
101678,unknown
101679,2
101680,1
101681,2
101682,2
101683,2
101684,2
101685,2
101686,unknown
101687,2
101688,1
101689,2
101690,unknown
101691,2
101692,2
101693,2
101694,2
101695,2
101696,unknown
101697,2
101698,2
101699,unknown
101700,2
101701,2
101702,2
101703,2
101704,2
101705,2
101706,unknown
101707,unknown
101708,unknown
101709,unknown
101710,1
101711,1
101712,unknown
101713,2
101714,2
101715,2
101716,unknown
101717,unknown
101718,2
101719,2
101720,2
101721,2
101722,1
101723,2
101724,1
101725,2
101726,2
101727,unknown
101728,2
101729,2
101730,1
101731,unknown
101732,2
101733,2
101734,2
101735,2
101736,2
101737,unknown
101738,unknown
101739,2
101740,2
101741,2
101742,2
101743,1
101744,unknown
101745,1
101746,2
101747,2
101748,unknown
101749,unknown
101750,2
101751,2
101752,2
101753,unknown
101754,2
101755,unknown
101756,1
101757,2
101758,2
101759,2
101760,2
101761,2
101762,2
101763,2
101764,1
101765,1
101766,unknown
101767,unknown
101768,2
101769,2
101770,2
101771,2
101772,2
101773,2
101774,2
101775,2
101776,2
101777,unknown
101778,2
101779,unknown
101780,2
101781,2
101782,unknown
101783,2
101784,2
101785,2
101786,2
101787,unknown
101788,unknown
101789,unknown
101790,unknown
101791,2
101792,1
101793,2
101794,1
101795,unknown
101796,1
101797,2
101798,2
101799,unknown
101800,2
101801,1
101802,2
101803,2
101804,1
101805,2
101806,unknown
101807,1
101808,unknown
101809,2
101810,2
101811,2
101812,1
101813,unknown
101814,2
101815,unknown
101816,2
101817,unknown
101818,2
101819,2
101820,2
101821,1
101822,2
101823,unknown
101824,2
101825,2
101826,2
101827,2
101828,1
101829,1
101830,2
101831,2
101832,2
101833,2
101834,unknown
101835,2
101836,2
101837,2
101838,1
101839,2
101840,1
101841,2
101842,2
101843,1
101844,unknown
101845,2
101846,2
101847,2
101848,2
101849,unknown
101850,2
101851,2
101852,2
101853,unknown
101854,unknown
101855,2
101856,2
101857,2
101858,2
101859,2
101860,1
101861,unknown
101862,2
101863,unknown
101864,2
101865,2
101866,2
101867,2
101868,2
101869,2
101870,2
101871,2
101872,2
101873,2
101874,2
101875,2
101876,unknown
101877,2
101878,2
101879,2
101880,2
101881,1
101882,unknown
101883,2
101884,1
101885,unknown
101886,2
101887,2
101888,2
101889,1
101890,1
101891,unknown
101892,1
101893,2
101894,unknown
101895,2
101896,unknown
101897,unknown
101898,2
101899,2
101900,unknown
101901,1
101902,2
101903,unknown
101904,1
101905,2
101906,2
101907,1
101908,2
101909,1
101910,2
101911,1
101912,2
101913,1
101914,2
101915,2
101916,1
101917,2
101918,unknown
101919,1
101920,unknown
101921,2
101922,2
101923,2
101924,2
101925,2
101926,unknown
101927,2
101928,2
101929,unknown
101930,2
101931,1
101932,unknown
101933,2
101934,2
101935,1
101936,unknown
101937,2
101938,2
101939,2
101940,1
101941,unknown
101942,1
101943,unknown
101944,2
101945,unknown
101946,unknown
101947,2
101948,unknown
101949,1
101950,2
101951,2
101952,1
101953,1
101954,2
101955,1
101956,2
101957,2
101958,1
101959,unknown
101960,2
101961,unknown
101962,2
101963,unknown
101964,unknown
101965,2
101966,unknown
101967,1
101968,unknown
101969,2
101970,2
101971,unknown
101972,unknown
101973,2
101974,2
101975,unknown
101976,unknown
101977,1
101978,unknown
101979,2
101980,unknown
101981,2
101982,unknown
101983,unknown
101984,unknown
101985,2
101986,2
101987,unknown
101988,2
101989,1
101990,2
101991,2
101992,2
101993,2
101994,unknown
101995,unknown
101996,unknown
101997,2
101998,2
101999,unknown
